INFO 2025-11-11 11:54:41,696 autoreload 50218 133011047612416 Watching for file changes with StatReloader
INFO 2025-11-11 11:57:10,250 autoreload 50924 129996999475200 Watching for file changes with StatReloader
INFO 2025-11-11 11:59:23,023 autoreload 50924 129996999475200 /home/mtd/projects/stock-sync/backend/backend/urls.py changed, reloading.
INFO 2025-11-11 11:59:23,230 autoreload 51479 135158511210496 Watching for file changes with StatReloader
INFO 2025-11-11 11:59:49,940 autoreload 51988 132540492066816 Watching for file changes with StatReloader
INFO 2025-11-11 12:05:01,592 autoreload 51988 132540492066816 /home/mtd/projects/stock-sync/backend/backend/settings.py changed, reloading.
INFO 2025-11-11 12:05:01,953 autoreload 53046 124512457175040 Watching for file changes with StatReloader
INFO 2025-11-11 12:05:26,956 autoreload 53438 123269541945344 Watching for file changes with StatReloader
INFO 2025-11-11 12:06:27,459 basehttp 53438 123269365618240 "OPTIONS /api/token/refresh/ HTTP/1.1" 200 0
INFO 2025-11-11 12:06:27,460 basehttp 53438 123269382403648 "OPTIONS /api/token/refresh/ HTTP/1.1" 200 0
WARNING 2025-11-11 12:06:27,475 basehttp 53438 123269382403648 "POST /api/token/refresh/ HTTP/1.1" 404 4193
WARNING 2025-11-11 12:06:27,475 basehttp 53438 123269365618240 "POST /api/token/refresh/ HTTP/1.1" 404 4193
INFO 2025-11-11 12:06:33,614 basehttp 53438 123269382403648 "OPTIONS /api/token/ HTTP/1.1" 200 0
INFO 2025-11-11 12:06:33,806 basehttp 53438 123269382403648 "POST /api/token/ HTTP/1.1" 200 489
INFO 2025-11-11 12:06:33,866 basehttp 53438 123269382403648 "OPTIONS /api/products/ HTTP/1.1" 200 0
INFO 2025-11-11 12:06:33,867 basehttp 53438 123269365618240 "OPTIONS /api/products/ HTTP/1.1" 200 0
INFO 2025-11-11 12:06:33,879 basehttp 53438 123269365618240 "GET /api/products/ HTTP/1.1" 200 907
INFO 2025-11-11 12:06:33,926 basehttp 53438 123269365618240 "GET /api/products/ HTTP/1.1" 200 907
INFO 2025-11-11 12:06:35,210 basehttp 53438 123269365618240 "GET /api/products/ HTTP/1.1" 200 907
INFO 2025-11-11 12:06:35,214 basehttp 53438 123269365618240 "GET /api/products/ HTTP/1.1" 200 907
INFO 2025-11-11 12:06:38,247 basehttp 53438 123269365618240 "OPTIONS /api/products/2/ HTTP/1.1" 200 0
INFO 2025-11-11 12:06:38,259 basehttp 53438 123269365618240 "DELETE /api/products/2/ HTTP/1.1" 204 0
INFO 2025-11-11 12:06:49,074 views 53438 123269365618240 User 1 created product 10
INFO 2025-11-11 12:06:49,097 basehttp 53438 123269365618240 "POST /api/products/ HTTP/1.1" 201 110
INFO 2025-11-11 12:07:02,222 basehttp 53438 123269365618240 "OPTIONS /api/products/10/ HTTP/1.1" 200 0
INFO 2025-11-11 12:07:02,240 basehttp 53438 123269365618240 "PUT /api/products/10/ HTTP/1.1" 200 111
INFO 2025-11-11 12:07:28,061 basehttp 53438 123269365618240 "GET /api/products/ HTTP/1.1" 200 909
INFO 2025-11-11 12:07:28,065 basehttp 53438 123269365618240 "GET /api/products/ HTTP/1.1" 200 909
INFO 2025-11-11 12:07:28,371 basehttp 53438 123269365618240 "GET /api/products/ HTTP/1.1" 200 909
INFO 2025-11-11 12:07:28,375 basehttp 53438 123269365618240 "GET /api/products/ HTTP/1.1" 200 909
INFO 2025-11-11 12:07:30,179 basehttp 53438 123269365618240 "GET /api/products/ HTTP/1.1" 200 909
INFO 2025-11-11 12:07:30,183 basehttp 53438 123269365618240 "GET /api/products/ HTTP/1.1" 200 909
INFO 2025-11-11 12:43:43,626 autoreload 67997 125534906679296 Watching for file changes with StatReloader
